B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.33,0.59,3.8,533.2707,856.354684,415.02,418.4008253,0.09735,11195.25
0.33,0.59,3.85,533.4021225,863.6328135,415.02,421.96662,0.09735,11195.25
0.33,0.59,3.9,533.533545,870.9109429,415.02,425.5324147,0.09735,11195.25
0.33,0.59,3.95,533.6649675,878.1890724,415.02,429.0982094,0.09735,11195.25
0.33,0.59,4,533.79639,885.4672019,415.02,432.6640041,0.09735,11195.25
0.39,0.5,3.8,533.295,939.769214,415.02,454.5520925,0.0975,11212.5
0.39,0.5,3.85,533.426625,947.7571071,415.02,458.4258577,0.0975,11212.5
0.39,0.5,3.9,533.55825,955.7450003,415.02,462.2996229,0.0975,11212.5
0.39,0.5,3.95,533.689875,963.7328934,415.02,466.1733881,0.0975,11212.5
0.39,0.5,4,533.8215,971.7207866,415.02,470.0471533,0.0975,11212.5
0.32,0.61,3.9,533.57472,859.9407757,415.02,420.9151214,0.0976,11224
0.32,0.61,3.95,533.70648,867.1275404,415.02,424.4424185,0.0976,11224
0.32,0.61,4,533.83824,874.3143051,415.02,427.9697157,0.0976,11224
0.31,0.63,3.95,533.7147825,855.0618698,415.02,419.2522111,0.09765,11229.75
0.31,0.63,4,533.84661,862.1491956,415.02,422.7366634,0.09765,11229.75
0.4,0.49,3.8,533.376,958.1421509,415.02,462.7462734,0.098,11270
0.35,0.56,3.8,533.376,886.7448289,415.02,431.8610376,0.098,11270
0.4,0.49,3.85,533.5083,966.2865878,415.02,466.689951,0.098,11270
0.35,0.56,3.85,533.5083,894.2805218,415.02,435.5411252,0.098,11270
0.4,0.49,3.9,533.6406,974.4310247,415.02,470.6336286,0.098,11270
0.35,0.56,3.9,533.6406,901.8162146,415.02,439.2212129,0.098,11270
0.4,0.49,3.95,533.7729,982.5754616,415.02,474.5773062,0.098,11270
0.35,0.56,3.95,533.7729,909.3519075,415.02,442.9013005,0.098,11270
0.4,0.49,4,533.9052,990.7198985,415.02,478.5209838,0.098,11270
0.35,0.56,4,533.9052,916.8876003,415.02,446.5813881,0.098,11270
0.37,0.53,3.8,533.3841,914.5561851,415.02,443.9140285,0.09805,11275.75
0.37,0.53,3.85,533.5164675,922.3284658,415.02,447.696773,0.09805,11275.75
0.37,0.53,3.9,533.648835,930.1007466,415.02,451.4795174,0.09805,11275.75
0.37,0.53,3.95,533.7812025,937.8730273,415.02,455.2622619,0.09805,11275.75
0.37,0.53,4,533.91357,945.645308,415.02,459.0450063,0.09805,11275.75
0.41,0.48,3.8,533.4408,976.2047958,415.02,470.7578973,0.0984,11316
0.41,0.48,3.85,533.57364,984.5033628,415.02,474.7700165,0.0984,11316
0.41,0.48,3.9,533.70648,992.8019298,415.02,478.7821358,0.0984,11316
0.41,0.48,3.95,533.83932,1001.100497,415.02,482.7942551,0.0984,11316
0.41,0.48,4,533.97216,1009.399064,415.02,486.8063743,0.0984,11316
0.34,0.58,3.8,533.4732,877.5826835,415.02,428.1941871,0.0986,11339
0.34,0.58,3.85,533.60631,885.0403294,415.02,431.8430335,0.0986,11339
0.34,0.58,3.9,533.73942,892.4979754,415.02,435.4918799,0.0986,11339
0.34,0.58,3.95,533.87253,899.9556213,415.02,439.1407263,0.0986,11339
0.34,0.58,4,534.00564,907.4132673,415.02,442.7895727,0.0986,11339
0.42,0.47,3.8,533.4894,993.9553849,415.02,478.5862684,0.0987,11350.5
0.42,0.47,3.85,533.622645,1002.405668,415.02,482.6653586,0.0987,11350.5
0.42,0.47,3.9,533.75589,1010.855952,415.02,486.7444488,0.0987,11350.5
0.42,0.47,3.95,533.889135,1019.306235,415.02,490.823539,0.0987,11350.5
0.42,0.47,4,534.02238,1027.756518,415.02,494.9026292,0.0987,11350.5
0.38,0.52,3.8,533.5056,933.8896742,415.02,452.6447657,0.0988,11362
0.38,0.52,3.85,533.63898,941.8261563,415.02,456.5018023,0.0988,11362
0.38,0.52,3.9,533.77236,949.7626383,415.02,460.358839,0.0988,11362
0.38,0.52,3.95,533.90574,957.6991204,415.02,464.2158756,0.0988,11362
0.38,0.52,4,534.03912,965.6356025,415.02,468.0729123,0.0988,11362
0.43,0.46,3.8,533.5218,1011.392154,415.02,486.2306913,0.0989,11373.5
0.43,0.46,3.85,533.655315,1019.99174,415.02,490.3752817,0.0989,11373.5
0.43,0.46,3.9,533.78883,1028.591326,415.02,494.5198721,0.0989,11373.5
0.43,0.46,3.95,533.922345,1037.190912,415.02,498.6644625,0.0989,11373.5
0.43,0.46,4,534.05586,1045.790498,415.02,502.8090528,0.0989,11373.5
0.44,0.45,3.8,533.538,1028.51334,415.02,493.6904703,0.099,11385
0.36,0.55,3.8,533.538,907.0300056,415.02,441.1248351,0.099,11385
0.33,0.6,3.8,533.538,867.4348323,415.02,424.0036786,0.099,11385
0.44,0.45,3.85,533.67165,1037.259815,415.02,497.8990901,0.099,11385
0.36,0.55,3.85,533.67165,914.7375573,415.02,444.8835947,0.099,11385
0.33,0.6,3.85,533.67165,874.8063574,415.02,427.6169366,0.099,11385
0.44,0.45,3.9,533.8053,1046.00629,415.02,502.1077099,0.099,11385
0.36,0.55,3.9,533.8053,922.4451091,415.02,448.6423543,0.099,11385
0.33,0.6,3.9,533.8053,882.1778824,415.02,431.2301945,0.099,11385
0.44,0.45,3.95,533.93895,1054.752765,415.02,506.3163297,0.099,11385
0.36,0.55,3.95,533.93895,930.1526608,415.02,452.4011138,0.099,11385
0.33,0.6,3.95,533.93895,889.5494074,415.02,434.8434524,0.099,11385
0.3,0.66,3.95,533.93895,852.3024058,415.02,418.7437393,0.099,11385
0.44,0.45,4,534.0726,1063.49924,415.02,510.5249495,0.099,11385
0.36,0.55,4,534.0726,937.8602126,415.02,456.1598734,0.099,11385
0.33,0.6,4,534.0726,896.9209324,415.02,438.4567103,0.099,11385
0.3,0.66,4,534.0726,859.3671238,415.02,422.2241478,0.099,11385
